carrier_name,carrier_number,shipment_number,shipment_date,delivery_date,delivery_reliability,feedback_reliability,non_conformance_count,transport_mode,shipment_weight_kg,cost_usd,status,region,origin_country,origin_postal_code,destination_country,destination_postal_code,distance_km,lead_time_days,co2_emission_kg,remarks,data_entry_source
Hapag-Lloyd,CR-904-C,SHP904437,2023-06-04,2023-06-10,1,1,0,Road,3295.59,7965.47,In Transit,Latin America,CO,307576,BR,76521,5995.28,6,3556.43,No issues,Manual
COSCO,CR-533-B,SHP499266,2024-04-07,2024-04-18,1,0,0,Sea,88103.65,20696.89,Returned,Africa,ZA,494082,NG,577543,7614.42,11,10062.87,Customs hold,Email
Hapag-Lloyd,CR-970-A,SHP227384,2023-09-13,2023-09-16,1,0,0,Air,1499.37,4455.99,Delivered,Asia,IN,827682,JP,742986,1439.82,3,1295.29,Left at front desk,API
XPO Logistics,977970,SHP516508,2025-02-15,2025-02-26,No,0,0,Road,3105.12,$30704.21,Returned,Europe,SE,5023,ZA,850479,11789.43,11,6589.36,Documentation missing,Manual
Maersk,CR-601-A,SHP976649,2023-06-15,2023-06-19,1,1,0,Road,24345.03,33841.75,In Transit,North America,MX,98054,EG,771949,5154.71,4,22588.48,Documentation missing,EDI
YRC Worldwide,CR-867-C,SHP177067,2024-05-18,2024-05-19,1,1,0,Road,10647.0,1702.32,Delivered,Latin America,BR,96654,BR,36510,524.39,1,1004.97,No issues,Portal
DB Cargo,CR-996-A,SHP152924,2023-08-15,08/16/2023,0,Provided,2,air,1865.87,499.88,Cancelled,Europe,IT,4930,IT,5133,72.81,1,81.51,Customs hold,Manual
Kuehne + Nagel,CR-275-B,SHP185258,2023-02-25,2023-03-05,0,0,3,Road,3956.81,USD 10092.51,Cancelled,Asia,IN,789215,US,81026,7383.89,8,5259.0,No issues,Portal
CEVA Logistics,CR-535-B,SHP977904,2023-05-26,2023-05-28,Yes,1,0,Sea,56471.85,N/A,Delayed,North America,US,75681,US,25745,645.72,2,546.98,Customs hold,Email
YRC Worldwide,CR-708-C,SHP328305,2025-10-14,2025-10-17,1,0,0,Road,2837.02,2241.19,Cancelled,North America,MX,54041,US,88316,1288.49,3,657.99,No issues,EDI
Rhenus,CR-261-A,SHP222710,2023-02-05,2023-02-07,1,Provided,0,Road,1864.17,1026.06,Delivered,Europe,ES,6285,BE,7725,1296.94,2,435.19,Documentation missing,EDI
YRC Worldwide,CR-335-B,SHP883796,2023-01-31,2023-02-14,0,1,0,Rail,33214.9,31653.06,Delayed,Europe,BE,2710,MX,86231,11936.27,14,11893.86,Partial delivery,EDI
HapagLloyd,CR-260-C,SHP905150,2023-01-11,2023-01-14,0,0,0,Road,352.26,286.26,Returned,Europe,DE,2928,FR,8739,1977.98,3,125.42,SLA breach,Email
COSCO,CR-115-B,SHP666567,2025-01-18,2025-01-21,1,0,0,Air,910.83,19695.85,Delivered,Middle East,SA,531099,TR,7384,6566.99,3,3588.83,SLA breach,EDI
UPS,CR-436-A,SHP321062,2025-04-30,2025-05-05,1,1,0,Road,17309.75,17685.1,Delivered,North America,MX,57556,US,72968,1667.54,5,5195.65,SLA breach,Email
Hapag-Lloyd,CR-417-C,SHP541430,2023-08-12,2023-08-18,1,1,0,Road,16369.78,27455.59,Delayed,Africa,NG,879607,ZA,832293,4137.89,6,12192.55,SLA breach,API
DBCargo,CR-473-A,SHP410210,2023-10-12,2023-10-25,1,1,0,Sea,98052.57,14329.13,In Transit,Middle East,SA,290533,AE,543435,8375.15,13,12318.08,Partial delivery,API
DB Schenker,CR-516-B,SHP686241,2025-06-16,2025-06-18,0,1,2,Road,3239.62,$279.36,Delivered,Asia,KR,825977,KR,955752,230.11,2,134.18,Partial delivery,EDI
Hapag-Lloyd,CR-559-B,SHP503610,16-07-2025,2025-07-24,0,1,0,Road,17146.05,28830.54,In Transit,Europe,DE,7229,ZA,384215,6739.95,8,20801.44,Partial delivery,API
COSCO Shipping,215552,SHP368043,2025-04-17,2025-04-21,0,1,0,Road,802.43,1395.18,In Transit,Latin America,CO,856393,CL,226562,3450.5,4,498.38,Customs hold,EDI
Nippon Express,CR-701-B,SHP369808,2023-12-24,2024-01-01,1,0,0,Road,3842.07,25102.63,In Transit,North America,CA,14136,ZA,721160,7942.08,8,5492.53,Customs hold,Email
Royal Mail,CR-183-B,SHP267880,2023-10-08,2023-10-11,1,1,0,Air,2758.55,67855.64,Delayed,Latin America,BR,83050,ZA,382087,11127.89,3,18418.13,Left at front desk,Email
Nippon Express,CR-652-A,SHP527636,2024-05-28,2024-06-05,0,1,0,Sea,42021.08,10622.38,In Transit,Africa,ZA,847695,SA,867742,6261.42,8,3946.68,Partial delivery,Manual
HapagLloyd,CR-819-C,SHP778622,2023-04-27,2023-04-29,0,0,1,Sea,30546.05,758.93,In Transit,Asia,SG,650822,SG,782248,406.65,2,186.32,Customs hold,EDI
Royal Mail,CR-596-A,SHP251981,2024-10-29,2024-10-30,1,1,0,Sea,29285.21,838.87,In Transit,Latin America,BR,89879,BR,69636,413.8,1,181.77,Documentation missing,Portal
Rhenus,CR-430-C,SHP391248,2025-09-05,2025-09-07,No,0,0,Rail,15464.59,3252.87,Delayed,Europe,SE,9074,PL,2163,1856.86,2,861.47,No issues,EDI
Kuehne + Nagel,CR-500-C,SHP151784,2025-10-21,2025-10-25,1,1,0,Road,17464.01,8627.5,In Transit,Asia,CN,892671,JP,694422,1679.85,4,5280.65,Left at front desk,EDI
CEVA Logistics,CR-485-B,SHP517524,2023-07-02,2023-07-08,1,1,0,Road,23690.39,N/A,In Transit,Africa,NG,419330,IN,842422,6897.79,6,29414.05,Documentation missing,Portal
DB Schenker,522242,SHP708854,2025-08-22,2025-08-27,0,1,0,Road,1324.37,2684.57,Delayed,Africa,EG,141401,NG,908764,6652.09,5,1585.77,Documentation missing,EDI
Nippon Express,CR-163-C,SHP151257,2023-07-14,2023-07-21,0,0,1,Sea,73995.65,6408.34,In Transit,Africa,KE,832323,JP,343409,4180.87,7,4640.5,Partial delivery,API
Evergreen Marine,CR-570-A,SHP211228,2025-01-16,2025-01-19,0,1,0,Air,1766.06,4264.3,Returned,Asia,KR,912647,CN,443072,1241.0,3,1315.01,SLA breach,Manual
COSCO,CR-936-C,SHP420179,2024-11-12,2024-11-14,0,1,2,Air,3980.66,48191.66,Delayed,Africa,NG,716759,PE,527573,4323.03,2,10325.09,SLA breach,Email
USPS,989538,SHP892678,2025-06-05,2025-06-07,1,1,0,Air,2697.27,29994.43,Returned,Latin America,CL,564647,CO,616049,4893.6,2,7919.61,Customs hold,Manual
DB Cargo,CR-490-A,SHP109687,2024-08-21,2024-08-24,0,0,0,Road,12709.01,10691.56,Cancelled,North America,US,60648,CA,51789,1859.52,3,4253.88,SLA breach,Email
Dhl,CR-476-C,SHP132120,2025-05-31,2025-06-01,0,0,3,Road,1047.35,96.6,In Transit,North America,MX,30114,MX,43214,57.73,1,10.88,Partial delivery,Email
UPS,CR-438-C,SHP739474,2023-08-19,2023-08-21,0,0,3,Rail,21757.03,1268.56,Delayed,Asia,KR,915270,JP,600205,963.86,2,629.12,Customs hold,API
Hapag-Lloyd,CR-727-B,SHP842772,2024-07-11,2024-07-13,0,1,0,Air,2624.07,60227.71,In Transit,Asia,IN,769669,AR,876922,7873.48,2,12396.32,Customs hold,Manual
UPS,523809,SHP799347,2024-05-09,2024-05-18,0,1,0,Road,3046.91,22085.49,Returned,Africa,EG,511349,KE,491682,9229.27,9,5061.73,Customs hold,Email
CEVA Logistics,CR-928-B,SHP450739,2023-08-18,2023-08-26,0,0,0,Rail,15104.51,USD 23850.13,Cancelled,Latin America,PE,391628,SA,491220,9030.79,8,4092.17,SLA breach,API
DB Schenker,CR-716-C,SHP310329,2025-03-05,2025-03-18,0,1,1,Sea,50679.49,9173.52,Returned,Africa,ZA,667454,KE,519301,9665.71,13,7347.8,Customs hold,Manual
XPO Logistics,CR-254-A,SHP575462,2023-06-11,2023-06-15,0,0,0,Rail,11830.28,3152.71,Returned,Asia,IN,658672,JP,530616,1558.88,4,553.26,Partial delivery,Portal
CEVA,CR-469-A,SHP670031,2024-05-29,2024-06-10,1,1,3,Rail,14326.66,16540.0,Delivered,Europe,ES,4899,IN,617228,10754.16,12,4622.13,Customs hold,Email
Hapag-Lloyd,CR-517-A,SHP743914,2024-01-28,2024-02-01,1,1,0,Rail,18896.89,3095.94,In Transit,Asia,CN,478048,SG,587792,1705.7,4,966.97,Left at front desk,Email
