carrier_number,shipment_number,shipment_date,delivery_date,delivery_reliability,feedback_reliability,non_conformance_count,transport_mode,cost_usd,region,origin_country,origin_postal_code,destination_country,destination_postal_code,distance_km,lead_time_days,co2_emission_kg,shipment_weight_kg,first_carrier_name,carrier_number_name,year_month,price_per_distance,origin_postal_code_2_digit,destination_postal_code_2_digit,lane,country_lane
CR-904-C,SHP904437,2023-06-04,2023-06-10,1,1,0,Road,7965.47,Latin America,CO,307576,BR,76521,5995.28,6,3556.43,3295.59,RoyalMail,CR-904-C-RoyalMail,2023-06,0.752658662953975,30,76,CO30-->BR76,CO-->BR
CR-533-B,SHP499266,2024-04-07,2024-04-18,1,0,0,Sea,20696.89,Africa,ZA,494082,NG,577543,7614.42,11,10062.87,88103.65,Royal Mail,CR-533-B-Royal Mail,2024-04,0.36790165092436594,49,57,ZA49-->NG57,ZA-->NG
CR-970-A,SHP227384,2023-09-13,2023-09-16,1,0,0,Air,4455.99,Asia,IN,827682,JP,742986,1439.82,3,1295.29,1499.37,USPS,CR-970-A-USPS,2023-09,0.323120114721981,82,74,IN82-->JP74,IN-->JP
977970,SHP516508,2025-02-15,2025-02-26,0,0,0,Road,30704.21,Europe,SE,5023,ZA,850479,11789.43,11,6589.36,3105.12,XPO Logistics,977970-XPO Logistics,2025-02,0.38396786629585977,50,85,SE50-->ZA85,SE-->ZA
CR-601-A,SHP976649,2023-06-15,2023-06-19,1,1,0,Road,33841.75,North America,MX,98054,EG,771949,5154.71,4,22588.48,24345.03,USPS,CR-601-A-USPS,2023-06,0.15231806865779696,98,77,MX98-->EG77,MX-->EG
CR-867-C,SHP177067,2024-05-18,2024-05-19,1,1,0,Road,1702.32,Latin America,BR,96654,BR,36510,524.39,1,1004.97,10647.0,YRC Worldwide,CR-867-C-YRC Worldwide,2024-05,0.30804431599229287,96,36,BR96-->BR36,BR-->BR
CR-996-A,SHP152924,2023-08-15,2023-08-16,0,1,2,Air,499.88,Europe,IT,4930,IT,5133,72.81,1,81.51,1865.87,ZIM,CR-996-A-ZIM,2023-08,0.14565495718972554,49,51,IT49-->IT51,IT-->IT
CR-275-B,SHP185258,2023-02-25,2023-03-05,0,0,3,Road,10092.51,Asia,IN,789215,US,81026,7383.89,8,5259.0,3956.81,SF Express,CR-275-B-SF Express,2023-03,0.7316207761993796,78,81,IN78-->US81,IN-->US
CR-535-B,SHP977904,2023-05-26,2023-05-28,1,1,0,Sea,7757.605,North America,US,75681,US,25745,645.72,2,546.98,56471.85,UPS,CR-535-B-UPS,2023-05,0.08323702998541432,75,25,US75-->US25,US-->US
CR-708-C,SHP328305,2025-10-14,2025-10-17,1,0,0,Road,2241.19,North America,MX,54041,US,88316,1288.49,3,657.99,2837.02,YRC Worldwide,CR-708-C-YRC Worldwide,2025-10,0.5749133272948745,54,88,MX54-->US88,MX-->US
CR-261-A,SHP222710,2023-02-05,2023-02-07,1,1,0,Road,1026.06,Europe,ES,6285,BE,7725,1296.94,2,435.19,1864.17,TNT Express,CR-261-A-TNT Express,2023-02,1.2640001559363,62,77,ES62-->BE77,ES-->BE
CR-335-B,SHP883796,2023-01-31,2023-02-14,0,1,0,Rail,31653.06,Europe,BE,2710,MX,86231,11936.27,14,11893.86,33214.9,YRC Worldwide,CR-335-B-YRC Worldwide,2023-02,0.3770968746781512,27,86,BE27-->MX86,BE-->MX
CR-260-C,SHP905150,2023-01-11,2023-01-14,0,0,0,Road,286.26,Europe,DE,2928,FR,8739,1977.98,3,125.42,352.26,Rhenus,CR-260-C-Rhenus,2023-01,6.909732411094809,29,87,DE29-->FR87,DE-->FR
